Gene,Date,Value,Type
3C,2021-01-18,0,Positively Selected
nsp6,2021-01-18,1.36922,dN/dS Internal
nsp6,2021-01-18,0.885986,dN/dS Leaves
nsp6,2021-01-18,0.0156126,Internal Branch Length
nsp6,2021-01-18,86,Unique Haplotypes
nsp6,2021-01-18,17461,Sequences
nsp6,2021-01-18,0.231034,Variable sites
nsp6,2021-01-18,0.037931,Variable amino-acids
nsp6,2021-01-18,0,Negatively Selected
nsp6,2021-01-18,0,Positively Selected
nsp7,2021-01-18,0.118651,dN/dS Internal
nsp7,2021-01-18,0.283644,dN/dS Leaves
nsp7,2021-01-18,0.0167182,Internal Branch Length
nsp7,2021-01-18,21,Unique Haplotypes
nsp7,2021-01-18,17965,Sequences
nsp7,2021-01-18,0.144578,Variable sites
nsp7,2021-01-18,0.0120482,Variable amino-acids
nsp7,2021-01-18,0,Negatively Selected
nsp7,2021-01-18,0,Positively Selected
nsp8,2021-01-18,0.140448,dN/dS Internal
nsp8,2021-01-18,0.525689,dN/dS Leaves
nsp8,2021-01-18,0.00685329,Internal Branch Length
nsp8,2021-01-18,23,Unique Haplotypes
nsp8,2021-01-18,17624,Sequences
nsp8,2021-01-18,0.0959596,Variable sites
nsp8,2021-01-18,0.00505051,Variable amino-acids
nsp8,2021-01-18,0,Negatively Selected
nsp8,2021-01-18,0.00505051,Positively Selected
nsp9,2021-01-18,1.91108,dN/dS Internal
nsp9,2021-01-18,0.317902,dN/dS Leaves
nsp9,2021-01-18,0.0115972,Internal Branch Length
nsp9,2021-01-18,17,Unique Haplotypes
nsp9,2021-01-18,17940,Sequences
nsp9,2021-01-18,0.106195,Variable sites
nsp9,2021-01-18,0.0265487,Variable amino-acids
nsp9,2021-01-18,0,Negatively Selected
nsp9,2021-01-18,0,Positively Selected
nsp10,2021-01-18,27.9625,dN/dS Internal
nsp10,2021-01-18,0.325233,dN/dS Leaves
nsp10,2021-01-18,0.00244469,Internal Branch Length
nsp10,2021-01-18,17,Unique Haplotypes
nsp10,2021-01-18,17849,Sequences
nsp10,2021-01-18,0.0935252,Variable sites
nsp10,2021-01-18,0.00719424,Variable amino-acids
nsp10,2021-01-18,0,Negatively Selected
nsp10,2021-01-18,0.00719424,Positively Selected
helicase,2021-01-18,0.595264,dN/dS Internal
helicase,2021-01-18,0.43514,dN/dS Leaves
helicase,2021-01-18,0.0241454,Internal Branch Length
helicase,2021-01-18,207,Unique Haplotypes
helicase,2021-01-18,17240,Sequences
helicase,2021-01-18,0.227953,Variable sites
helicase,2021-01-18,0.0332779,Variable amino-acids
helicase,2021-01-18,0,Negatively Selected
helicase,2021-01-18,0.00166389,Positively Selected
exonuclease,2021-01-18,0.164804,dN/dS Internal
exonuclease,2021-01-18,0.661484,dN/dS Leaves
exonuclease,2021-01-18,0.0108515,Internal Branch Length
exonuclease,2021-01-18,162,Unique Haplotypes
exonuclease,2021-01-18,17074,Sequences
exonuclease,2021-01-18,0.237192,Variable sites
exonuclease,2021-01-18,0.0170778,Variable amino-acids
exonuclease,2021-01-18,0,Negatively Selected
exonuclease,2021-01-18,0,Positively Selected
endornase,2021-01-18,1.01919,dN/dS Internal
endornase,2021-01-18,0.511984,dN/dS Leaves
endornase,2021-01-18,0.0093254,Internal Branch Length
endornase,2021-01-18,103,Unique Haplotypes
endornase,2021-01-18,17603,Sequences
endornase,2021-01-18,0.242775,Variable sites
endornase,2021-01-18,0.0202312,Variable amino-acids
endornase,2021-01-18,0,Negatively Selected
endornase,2021-01-18,0,Positively Selected
S,2021-01-18,0.588324,dN/dS Internal
S,2021-01-18,0.732085,dN/dS Leaves
S,2021-01-18,0.0429387,Internal Branch Length
S,2021-01-18,650,Unique Haplotypes
S,2021-01-18,17441,Sequences
S,2021-01-18,0.173811,Variable sites
S,2021-01-18,0.0600156,Variable amino-acids
S,2021-01-18,0.00389712,Negatively Selected
S,2021-01-18,0,Positively Selected
E,2021-01-18,0.838117,dN/dS Internal
E,2021-01-18,1.84752,dN/dS Leaves
E,2021-01-18,0,Internal Branch Length
E,2021-01-18,10,Unique Haplotypes
E,2021-01-18,17996,Sequences
E,2021-01-18,0.12,Variable sites
E,2021-01-18,0,Variable amino-acids
E,2021-01-18,0,Negatively Selected
E,2021-01-18,0,Positively Selected
M,2021-01-18,0.279788,dN/dS Internal
M,2021-01-18,0.24764,dN/dS Leaves
M,2021-01-18,0.0152207,Internal Branch Length
M,2021-01-18,82,Unique Haplotypes
M,2021-01-18,17984,Sequences
M,2021-01-18,0.306306,Variable sites
M,2021-01-18,0.0315315,Variable amino-acids
M,2021-01-18,0,Negatively Selected
M,2021-01-18,0,Positively Selected
N,2021-01-18,0.867586,dN/dS Internal
N,2021-01-18,0.533285,dN/dS Leaves
N,2021-01-18,0.0408601,Internal Branch Length
N,2021-01-18,261,Unique Haplotypes
N,2021-01-18,17189,Sequences
N,2021-01-18,0.749403,Variable sites
N,2021-01-18,0.0644391,Variable amino-acids
N,2021-01-18,0.00238663,Negatively Selected
N,2021-01-18,0.0071599,Positively Selected
ORF3a,2021-01-18,0.989839,dN/dS Internal
ORF3a,2021-01-18,1.45121,dN/dS Leaves
ORF3a,2021-01-18,0.0515862,Internal Branch Length
ORF3a,2021-01-18,199,Unique Haplotypes
ORF3a,2021-01-18,17853,Sequences
ORF3a,2021-01-18,0.259928,Variable sites
ORF3a,2021-01-18,0.111913,Variable amino-acids
ORF3a,2021-01-18,0,Negatively Selected
ORF3a,2021-01-18,0.00361011,Positively Selected
ORF6,2021-01-18,0,dN/dS Internal
ORF6,2021-01-18,3.48283,dN/dS Leaves
ORF6,2021-01-18,0.0116984,Internal Branch Length
ORF6,2021-01-18,15,Unique Haplotypes
ORF6,2021-01-18,17979,Sequences
ORF6,2021-01-18,0.147541,Variable sites
ORF6,2021-01-18,0,Variable amino-acids
ORF6,2021-01-18,0,Negatively Selected
ORF6,2021-01-18,0,Positively Selected
ORF7a,2021-01-18,0.355973,dN/dS Internal
ORF7a,2021-01-18,1.85254,dN/dS Leaves
ORF7a,2021-01-18,0.0472433,Internal Branch Length
ORF7a,2021-01-18,118,Unique Haplotypes
ORF7a,2021-01-18,17095,Sequences
ORF7a,2021-01-18,0.809917,Variable sites
ORF7a,2021-01-18,0.0743802,Variable amino-acids
ORF7a,2021-01-18,0.00826446,Negatively Selected
ORF7a,2021-01-18,0,Positively Selected
ORF8,2021-01-18,0.819577,dN/dS Internal
ORF8,2021-01-18,0.0266031,dN/dS Leaves
ORF8,2021-01-18,0.0123936,Internal Branch Length
ORF8,2021-01-18,7,Unique Haplotypes
ORF8,2021-01-18,19,Sequences
ORF8,2021-01-18,0.157025,Variable sites
ORF8,2021-01-18,0.00826446,Variable amino-acids
ORF8,2021-01-18,0,Negatively Selected
ORF8,2021-01-18,0,Positively Selected
RdRp,2021-01-18,0.244117,dN/dS Internal
RdRp,2021-01-18,0.547077,dN/dS Leaves
RdRp,2021-01-18,0.0128084,Internal Branch Length
RdRp,2021-01-18,220,Unique Haplotypes
RdRp,2021-01-18,17557,Sequences
RdRp,2021-01-18,0.253219,Variable sites
RdRp,2021-01-18,0.0150215,Variable amino-acids
RdRp,2021-01-18,0.00107296,Negatively Selected
RdRp,2021-01-18,0,Positively Selected
methyltransferase,2021-01-18,0.206952,dN/dS Internal
methyltransferase,2021-01-18,0.574984,dN/dS Leaves
methyltransferase,2021-01-18,0.0115736,Internal Branch Length
methyltransferase,2021-01-18,78,Unique Haplotypes
methyltransferase,2021-01-18,17385,Sequences
methyltransferase,2021-01-18,0.204698,Variable sites
methyltransferase,2021-01-18,0.0134228,Variable amino-acids
methyltransferase,2021-01-18,0.0033557,Negatively Selected
methyltransferase,2021-01-18,0,Positively Selected
leader,2021-02-02,0,dN/dS Internal
leader,2021-02-02,0.678745,dN/dS Leaves
leader,2021-02-02,0.00558214,Internal Branch Length
leader,2021-02-02,79,Unique Haplotypes
leader,2021-02-02,2518,Sequences
leader,2021-02-02,0.372222,Variable sites
leader,2021-02-02,0.00555556,Variable amino-acids
leader,2021-02-02,0,Negatively Selected
leader,2021-02-02,0,Positively Selected
nsp2,2021-02-02,0.576719,dN/dS Internal
nsp2,2021-02-02,0.928259,dN/dS Leaves
nsp2,2021-02-02,0.0307367,Internal Branch Length
nsp2,2021-02-02,297,Unique Haplotypes
nsp2,2021-02-02,16587,Sequences
nsp2,2021-02-02,0.321317,Variable sites
nsp2,2021-02-02,0.0501567,Variable amino-acids
nsp2,2021-02-02,0,Negatively Selected
nsp2,2021-02-02,0.0031348,Positively Selected
nsp3,2021-02-02,0.5445,dN/dS Internal
nsp3,2021-02-02,0.786724,dN/dS Leaves
nsp3,2021-02-02,0.0260452,Internal Branch Length
nsp3,2021-02-02,818,Unique Haplotypes
nsp3,2021-02-02,40815,Sequences
nsp3,2021-02-02,0.302828,Variable sites
nsp3,2021-02-02,0.0457584,Variable amino-acids
nsp3,2021-02-02,0,Negatively Selected
nsp3,2021-02-02,0.00154242,Positively Selected
nsp4,2021-02-02,0.324566,dN/dS Internal
nsp4,2021-02-02,0.294317,dN/dS Leaves
nsp4,2021-02-02,0.0046951,Internal Branch Length
nsp4,2021-02-02,127,Unique Haplotypes
nsp4,2021-02-02,6311,Sequences
nsp4,2021-02-02,0.23,Variable sites
nsp4,2021-02-02,0.008,Variable amino-acids
nsp4,2021-02-02,0,Negatively Selected
nsp4,2021-02-02,0.004,Positively Selected
3C,2021-02-02,1.09156,dN/dS Internal
3C,2021-02-02,0.309244,dN/dS Leaves
3C,2021-02-02,0.00776218,Internal Branch Length
3C,2021-02-02,84,Unique Haplotypes
3C,2021-02-02,2418,Sequences
3C,2021-02-02,0.235294,Variable sites
3C,2021-02-02,0.0163399,Variable amino-acids
3C,2021-02-02,0,Negatively Selected
3C,2021-02-02,0.00980392,Positively Selected
nsp6,2021-02-02,1.76384,dN/dS Internal
nsp6,2021-02-02,0.511442,dN/dS Leaves
nsp6,2021-02-02,0.00520753,Internal Branch Length
nsp6,2021-02-02,70,Unique Haplotypes
nsp6,2021-02-02,2096,Sequences
nsp6,2021-02-02,0.217241,Variable sites
nsp6,2021-02-02,0.0172414,Variable amino-acids
nsp6,2021-02-02,0,Negatively Selected
nsp6,2021-02-02,0.0137931,Positively Selected
nsp7,2021-02-02,0.130297,dN/dS Internal
nsp7,2021-02-02,0.344581,dN/dS Leaves
nsp7,2021-02-02,0.0166419,Internal Branch Length
nsp7,2021-02-02,40,Unique Haplotypes
nsp7,2021-02-02,1080,Sequences
nsp7,2021-02-02,0.349398,Variable sites
nsp7,2021-02-02,0.0240964,Variable amino-acids
nsp7,2021-02-02,0,Negatively Selected
nsp7,2021-02-02,0,Positively Selected
nsp8,2021-02-02,0.399721,dN/dS Internal
nsp8,2021-02-02,0.538693,dN/dS Leaves
nsp8,2021-02-02,0.0102992,Internal Branch Length
nsp8,2021-02-02,54,Unique Haplotypes
nsp8,2021-02-02,1558,Sequences
nsp8,2021-02-02,0.217172,Variable sites
nsp8,2021-02-02,0.0151515,Variable amino-acids
nsp8,2021-02-02,0,Negatively Selected
nsp8,2021-02-02,0.00505051,Positively Selected
nsp9,2021-02-02,0.175207,dN/dS Internal
nsp9,2021-02-02,0.422874,dN/dS Leaves
nsp9,2021-02-02,0.0115854,Internal Branch Length
nsp9,2021-02-02,41,Unique Haplotypes
nsp9,2021-02-02,1310,Sequences
nsp9,2021-02-02,0.283186,Variable sites
nsp9,2021-02-02,0.0176991,Variable amino-acids
nsp9,2021-02-02,0,Negatively Selected
nsp9,2021-02-02,0,Positively Selected
nsp10,2021-02-02,0.412119,dN/dS Internal
nsp10,2021-02-02,0.484586,dN/dS Leaves
nsp10,2021-02-02,0.00485426,Internal Branch Length
nsp10,2021-02-02,40,Unique Haplotypes
nsp10,2021-02-02,1040,Sequences
nsp10,2021-02-02,0.244604,Variable sites
nsp10,2021-02-02,0.00719424,Variable amino-acids
nsp10,2021-02-02,0,Negatively Selected
nsp10,2021-02-02,0,Positively Selected
helicase,2021-02-02,0.387641,dN/dS Internal
helicase,2021-02-02,0.561292,dN/dS Leaves
helicase,2021-02-02,0.0110908,Internal Branch Length
helicase,2021-02-02,156,Unique Haplotypes
helicase,2021-02-02,8089,Sequences
helicase,2021-02-02,0.206323,Variable sites
helicase,2021-02-02,0.0133111,Variable amino-acids
helicase,2021-02-02,0,Negatively Selected
helicase,2021-02-02,0.00166389,Positively Selected
exonuclease,2021-02-02,0.567532,dN/dS Internal
exonuclease,2021-02-02,0.466131,dN/dS Leaves
exonuclease,2021-02-02,0.0044527,Internal Branch Length
exonuclease,2021-02-02,145,Unique Haplotypes
exonuclease,2021-02-02,5903,Sequences
exonuclease,2021-02-02,0.248577,Variable sites
exonuclease,2021-02-02,0.0056926,Variable amino-acids
exonuclease,2021-02-02,0,Negatively Selected
exonuclease,2021-02-02,0.00379507,Positively Selected
endornase,2021-02-02,0.241035,dN/dS Internal
endornase,2021-02-02,0.612025,dN/dS Leaves
endornase,2021-02-02,0.00486894,Internal Branch Length
endornase,2021-02-02,89,Unique Haplotypes
endornase,2021-02-02,3470,Sequences
endornase,2021-02-02,0.216763,Variable sites
endornase,2021-02-02,0.00867052,Variable amino-acids
endornase,2021-02-02,0,Negatively Selected
endornase,2021-02-02,0,Positively Selected
S,2021-02-02,0.922026,dN/dS Internal
S,2021-02-02,0.543483,dN/dS Leaves
S,2021-02-02,0.0338314,Internal Branch Length
S,2021-02-02,611,Unique Haplotypes
S,2021-02-02,28120,Sequences
S,2021-02-02,0.348782,Variable sites
S,2021-02-02,0.043205,Variable amino-acids
S,2021-02-02,0.000785546,Negatively Selected
S,2021-02-02,0.00235664,Positively Selected
E,2021-02-02,0.83974,dN/dS Internal
E,2021-02-02,1.26769,dN/dS Leaves
E,2021-02-02,0,Internal Branch Length
E,2021-02-02,19,Unique Haplotypes
E,2021-02-02,727,Sequences
E,2021-02-02,0.24,Variable sites
E,2021-02-02,0,Variable amino-acids
E,2021-02-02,0,Negatively Selected
E,2021-02-02,0,Positively Selected
M,2021-02-02,0.859591,dN/dS Internal
M,2021-02-02,0.317315,dN/dS Leaves
M,2021-02-02,0.0106197,Internal Branch Length
M,2021-02-02,66,Unique Haplotypes
M,2021-02-02,2459,Sequences
M,2021-02-02,0.252252,Variable sites
M,2021-02-02,0.018018,Variable amino-acids
M,2021-02-02,0,Negatively Selected
M,2021-02-02,0.0135135,Positively Selected
N,2021-02-02,0.419806,dN/dS Internal
N,2021-02-02,1.03003,dN/dS Leaves
N,2021-02-02,0.0240394,Internal Branch Length
N,2021-02-02,221,Unique Haplotypes
N,2021-02-02,9384,Sequences
N,2021-02-02,0.396181,Variable sites
N,2021-02-02,0.0334129,Variable amino-acids
N,2021-02-02,0,Negatively Selected
N,2021-02-02,0.0071599,Positively Selected
ORF3a,2021-02-02,0.773343,dN/dS Internal
ORF3a,2021-02-02,1.34795,dN/dS Leaves
ORF3a,2021-02-02,0.0295049,Internal Branch Length
ORF3a,2021-02-02,164,Unique Haplotypes
ORF3a,2021-02-02,8015,Sequences
ORF3a,2021-02-02,0.434783,Variable sites
ORF3a,2021-02-02,0.0507246,Variable amino-acids
ORF3a,2021-02-02,0,Negatively Selected
ORF3a,2021-02-02,0.00724638,Positively Selected
ORF6,2021-02-02,0,dN/dS Internal
ORF6,2021-02-02,1.90232,dN/dS Leaves
ORF6,2021-02-02,0.0156508,Internal Branch Length
ORF6,2021-02-02,27,Unique Haplotypes
ORF6,2021-02-02,851,Sequences
ORF6,2021-02-02,0.327869,Variable sites
ORF6,2021-02-02,0,Variable amino-acids
ORF6,2021-02-02,0,Negatively Selected
ORF6,2021-02-02,0,Positively Selected
ORF7a,2021-02-02,0.0784613,dN/dS Internal
ORF7a,2021-02-02,1.40463,dN/dS Leaves
ORF7a,2021-02-02,0.0260943,Internal Branch Length
ORF7a,2021-02-02,99,Unique Haplotypes
ORF7a,2021-02-02,3405,Sequences
ORF7a,2021-02-02,0.595041,Variable sites
ORF7a,2021-02-02,0.0165289,Variable amino-acids
ORF7a,2021-02-02,0,Negatively Selected
ORF7a,2021-02-02,0,Positively Selected
ORF8,2021-02-02,0.842298,dN/dS Internal
ORF8,2021-02-02,0.0051416,dN/dS Leaves
ORF8,2021-02-02,0.00727086,Internal Branch Length
ORF8,2021-02-02,4,Unique Haplotypes
ORF8,2021-02-02,14,Sequences
ORF8,2021-02-02,0.0743802,Variable sites
ORF8,2021-02-02,0,Variable amino-acids
ORF8,2021-02-02,0,Negatively Selected
ORF8,2021-02-02,0,Positively Selected
RdRp,2021-02-02,0.425425,dN/dS Internal
RdRp,2021-02-02,0.457419,dN/dS Leaves
RdRp,2021-02-02,0.00610284,Internal Branch Length
RdRp,2021-02-02,217,Unique Haplotypes
RdRp,2021-02-02,9644,Sequences
RdRp,2021-02-02,0.208155,Variable sites
RdRp,2021-02-02,0.0107296,Variable amino-acids
RdRp,2021-02-02,0,Negatively Selected
RdRp,2021-02-02,0.00321888,Positively Selected
methyltransferase,2021-02-02,0.112728,dN/dS Internal
methyltransferase,2021-02-02,0.412398,dN/dS Leaves
methyltransferase,2021-02-02,0.00409218,Internal Branch Length
methyltransferase,2021-02-02,57,Unique Haplotypes
methyltransferase,2021-02-02,1425,Sequences
methyltransferase,2021-02-02,0.154362,Variable sites
methyltransferase,2021-02-02,0.0033557,Variable amino-acids
methyltransferase,2021-02-02,0,Negatively Selected
methyltransferase,2021-02-02,0,Positively Selected
